model,model_key,lambda,run_seed,epoch,lr,phase,loss,cls_loss,reg_loss,acc,tol1_acc,ang_mae_deg,fr,spikes_per_sample,synops_per_sample
FlatLIFSNN,flat_snn,0.0,275,6,0.0002,val,0.5174953508377075,0.5174953508377075,0.0,1.0,1.0,1.565658769607544,0.42447858572006225,3585.995,280634.08
FlatLIFSNN,flat_snn,0.03,275,1,0.001879422863405995,train,2.385091710090637,2.3756472177505494,0.009444492330774665,0.40475,0.77525,13.13037739944458,0.31481641745567324,2659.569,216288.726
FlatLIFSNN,flat_snn,0.03,275,1,0.001879422863405995,val,1.3206010913848878,1.3082277965545654,0.01237329114228487,0.8275,0.99875,1.6057552194595337,0.4124430465698242,3484.31875,273520.4
FlatLIFSNN,flat_snn,0.03,275,2,0.0015500000000000002,train,1.2800088605880737,1.267704298019409,0.012304559819400311,0.7685,0.97675,3.140435218811035,0.41015200090408327,3464.964,270027.22
FlatLIFSNN,flat_snn,0.03,275,2,0.0015500000000000002,val,0.8550802850723267,0.8424768280982972,0.012603458128869533,0.9675,1.0,1.4893365383148194,0.4201152777671814,3549.13375,278293.235
FlatLIFSNN,flat_snn,0.03,275,3,0.0011,train,0.9779309883117676,0.9655880756378173,0.012342919148504734,0.86725,0.99,2.481789942741394,0.4114306461811066,3475.766,270147.337
FlatLIFSNN,flat_snn,0.03,275,3,0.0011,val,0.6567534327507019,0.6440881180763245,0.012665314339101315,0.9875,1.0,1.377982325553894,0.4221771550178528,3566.5525,279825.015
FlatLIFSNN,flat_snn,0.03,275,4,0.0006500000000000003,train,0.8093601174354553,0.796987398147583,0.01237271672487259,0.9255,0.9975,2.021791584014893,0.41242389917373656,3484.157,271126.441
FlatLIFSNN,flat_snn,0.03,275,4,0.0006500000000000003,val,0.5761960625648499,0.5634618043899536,0.012734250836074353,0.99875,1.0,1.440074987411499,0.4244750392436981,3585.965,281711.24
FlatLIFSNN,flat_snn,0.03,275,5,0.0003205771365940052,train,0.7237425937652587,0.7113306150436401,0.012411977171897888,0.9525,0.9985,1.8602764492034911,0.4137325813770294,3495.21275,271882.19
FlatLIFSNN,flat_snn,0.03,275,5,0.0003205771365940052,val,0.540647075176239,0.5279231667518616,0.012723899334669114,1.0,1.0,1.5303643894195558,0.4241299891471863,3583.05,281873.905
FlatLIFSNN,flat_snn,0.03,275,6,0.0002,train,0.6784232497215271,0.6659823403358459,0.012440908320248127,0.977,0.9995,1.758858271598816,0.4146969528198242,3503.35975,272939.22
